UBIGEO,departamento,provincia,distrito,densidad_poblacional,poblacion,,,
080101,CUSCO,CUSCO,CUSCO,1018.034762,114630,,,
080102,CUSCO,CUSCO,CCORCA,11.85299109,2246,,,
080103,CUSCO,CUSCO,POROY,522.526738,2436,,,
080104,CUSCO,CUSCO,SAN JERONIMO,455.7867234,57075,,,
080105,CUSCO,CUSCO,SAN SEBASTIAN,1289.188283,112536,,,
080106,CUSCO,CUSCO,SANTIAGO,1293.086632,94756,,,
080107,CUSCO,CUSCO,SAYLLA,189.8872445,5368,,,
080108,CUSCO,CUSCO,WANCHAQ,9996.551724,58541,,,
080201,CUSCO,ACOMAYO,ACOMAYO,39.30063,4532,,,
080202,CUSCO,ACOMAYO,ACOPIA,25.93763628,2650,,,
080203,CUSCO,ACOMAYO,ACOS,16.99745547,2242,,,
080204,CUSCO,ACOMAYO,MOSOC LLACTA,52.44210044,1096,,,
080205,CUSCO,ACOMAYO,POMACANCHI,32.73334301,7206,,,
080206,CUSCO,ACOMAYO,RONDOCAN,13.20053268,1938,,,
080207,CUSCO,ACOMAYO,SANGARARA,47.74556137,3276,,,
080301,CUSCO,ANTA,ANTA,82.45137723,21674,,,
080302,CUSCO,ANTA,ANCAHUASI,56.21459783,6784,,,
080303,CUSCO,ANTA,CACHIMAYO,52.79574861,2382,,,
080304,CUSCO,ANTA,CHINCHAYPUJIO,11.01694915,4026,,,
080305,CUSCO,ANTA,HUAROCONDO,25.20339428,4533,,,
080306,CUSCO,ANTA,LIMATAMBO,19.108243,7255,,,
080307,CUSCO,ANTA,MOLLEPATA,9.139482565,3111,,,
080308,CUSCO,ANTA,PUCYURA,112.794702,2990,,,
080309,CUSCO,ANTA,ZURITE,69.6158991,3451,,,
080401,CUSCO,CALCA,CALCA,74.96865053,20628,,,
080402,CUSCO,CALCA,COYA,56.36287274,3443,,,
080403,CUSCO,CALCA,LAMAY,61.21842496,5313,,,
080404,CUSCO,CALCA,LARES,13.674468,5753,,,
080405,CUSCO,CALCA,PISAC,68.72175379,9884,,,
080406,CUSCO,CALCA,SAN SALVADOR,43.89786835,5232,,,
080407,CUSCO,CALCA,TARAY,87.91372257,4312,,,
080408,CUSCO,CALCA,YANATILE,4.32953413,8590,,,
080501,CUSCO,CANAS,YANAOCA,34.05126805,8659,,,
080502,CUSCO,CANAS,CHECCA,12.50992536,4985,,,
080503,CUSCO,CANAS,KUNTURKANKI,15.2529307,4747,,,
080504,CUSCO,CANAS,LANGUI,13.18546232,1984,,,
080505,CUSCO,CANAS,LAYO,13.99372459,5171,,,
080506,CUSCO,CANAS,PAMPAMARCA,66.96756937,1838,,,
080507,CUSCO,CANAS,QUEHUE,25.13592639,2577,,,
080508,CUSCO,CANAS,TUPAC AMARU,24.34428317,2523,,,
080601,CUSCO,CANCHIS,SICUANI,92.73239611,57827,,,
080602,CUSCO,CANCHIS,CHECACUPE,5.19566889,4720,,,
080603,CUSCO,CANCHIS,COMBAPATA,29.55616438,4587,,,
080604,CUSCO,CANCHIS,MARANGANI,25.99560846,9600,,,
080605,CUSCO,CANCHIS,PITUMARCA,6.71653811,7170,,,
080606,CUSCO,CANCHIS,SAN PABLO,8.930275159,4224,,,
080607,CUSCO,CANCHIS,SAN PEDRO,51.06537971,2617,,,
080608,CUSCO,CANCHIS,TINTA,70.86534828,5029,,,
080701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,13.80607875,21728,,,
080702,CUSCO,CHUMBIVILCAS,CAPACMARCA,16.90887017,3866,,,
080703,CUSCO,CHUMBIVILCAS,CHAMACA,13.14762901,6244,,,
080704,CUSCO,CHUMBIVILCAS,COLQUEMARCA,19.08607533,6897,,,
080705,CUSCO,CHUMBIVILCAS,LIVITACA,17.61672382,10378,,,
080706,CUSCO,CHUMBIVILCAS,LLUSCO,22.39553611,4368,,,
080707,CUSCO,CHUMBIVILCAS,QUINOTA,22.14431124,3786,,,
080708,CUSCO,CHUMBIVILCAS,VELILLE,11.22033719,9143,,,
080801,CUSCO,ESPINAR,ESPINAR,44.45425125,34861,,,
080802,CUSCO,ESPINAR,CONDOROMA,2.727131058,870,,,
080803,CUSCO,ESPINAR,COPORAQUE,11.4071309,9627,,,
080804,CUSCO,ESPINAR,OCORURO,4.547642645,1019,,,
080805,CUSCO,ESPINAR,PALLPATA,6.795330816,4823,,,
080806,CUSCO,ESPINAR,PICHIGUA,12.47748996,2805,,,
080807,CUSCO,ESPINAR,SUYCKUTAMBO,4.244552467,1643,,,
080808,CUSCO,ESPINAR,ALTO PICHIGUA,8.350847322,1934,,,
080901,CUSCO,LA CONVENCION,SANTA ANA,95.8096828,27999,,,
080902,CUSCO,LA CONVENCION,ECHARATE,2.350761673,23214,,,
080903,CUSCO,LA CONVENCION,HUAYOPATA,8.965306668,4773,,,
080904,CUSCO,LA CONVENCION,MARANURA,40.30605456,4134,,,
080905,CUSCO,LA CONVENCION,OCOBAMBA,8.047043155,4327,,,
080906,CUSCO,LA CONVENCION,QUELLOUNO,22.62029812,13311,,,
080907,CUSCO,LA CONVENCION,KIMBIRI,14.86309036,15962,,,
080908,CUSCO,LA CONVENCION,SANTA TERESA,4.831465704,5972,,,
080909,CUSCO,LA CONVENCION,VILCABAMBA,4.192831821,9557,,,
080910,CUSCO,LA CONVENCION,PICHARI,27.81299199,22691,,,
080911,CUSCO,LA CONVENCION,INKAWASI,,4285,,,
080912,CUSCO,LA CONVENCION,VILLA VIRGEN,,1980,,,
081001,CUSCO,PARURO,PARURO,21.75726763,3205,,,
081002,CUSCO,PARURO,ACCHA,15.47293156,3028,,,
081003,CUSCO,PARURO,CCAPI,10.99596834,3079,,,
081004,CUSCO,PARURO,COLCHA,8.129732819,963,,,
081005,CUSCO,PARURO,HUANOQUITE,15.57338627,4867,,,
081006,CUSCO,PARURO,OMACHA,16.51268884,5443,,,
081007,CUSCO,PARURO,PACCARITAMBO,14.10840755,2032,,,
081008,CUSCO,PARURO,PILLPINTO,15.41766713,1026,,,
081009,CUSCO,PARURO,YAURISQUE,27.23568282,1924,,,
081101,CUSCO,PAUCARTAMBO,PAUCARTAMBO,12.22167657,11871,,,
081102,CUSCO,PAUCARTAMBO,CAICAY,24.39486994,2716,,,
081103,CUSCO,PAUCARTAMBO,CHALLABAMBA,15.0878697,8433,,,
081104,CUSCO,PAUCARTAMBO,COLQUEPATA,22.79763941,8170,,,
081105,CUSCO,PAUCARTAMBO,HUANCARANI,52.59749208,6911,,,
081106,CUSCO,PAUCARTAMBO,KOSNIPATA,1.497458405,4403,,,
081201,CUSCO,QUISPICANCHI,URCOS,68.72632752,10614,,,
081202,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,64.59810875,5797,,,
081203,CUSCO,QUISPICANCHI,CAMANTI,0.6595421,2219,,,
081204,CUSCO,QUISPICANCHI,CCARHUAYO,9.968460289,2863,,,
081205,CUSCO,QUISPICANCHI,CCATCA,58.31275185,13295,,,
081206,CUSCO,QUISPICANCHI,CUSIPATA,19.23154457,4221,,,
081207,CUSCO,QUISPICANCHI,HUARO,42.2563041,4505,,,
081208,CUSCO,QUISPICANCHI,LUCRE,33.67570298,4606,,,
081209,CUSCO,QUISPICANCHI,MARCAPATA,2.674313204,4307,,,
081210,CUSCO,QUISPICANCHI,OCONGATE,16.38989776,15223,,,
081211,CUSCO,QUISPICANCHI,OROPESA,97.7968834,9444,,,
081212,CUSCO,QUISPICANCHI,QUIQUIJANA,30.37406484,10336,,,
081301,CUSCO,URUBAMBA,URUBAMBA,162.7611475,20082,,,
081302,CUSCO,URUBAMBA,CHINCHERO,103.2356984,10477,,,
081303,CUSCO,URUBAMBA,HUAYLLABAMBA,51.01981068,5499,,,
081304,CUSCO,URUBAMBA,MACHUPICCHU,30.69554966,5347,,,
081305,CUSCO,URUBAMBA,MARAS,43.94387562,5946,,,
081306,CUSCO,URUBAMBA,OLLANTAYTAMBO,17.53221398,10165,,,
081307,CUSCO,URUBAMBA,YUCAY,46.74790988,3223,,,