provincia,cases_q0,cases_q1,cases_q2,cases_q3,deaths_q0,deaths_q1,deaths_q2,deaths_q3,posi_q0,posi_q1,posi_q2,posi_q3
ACOMAYO,0,2.465,7.395,9.86,0,0.0725,0.2175,0.29,0,0.15,0.25,1
ANTA,0,12.9275,38.7825,51.71,0,0.1775,0.5325,0.71,0,0.15,0.25,1
CALCA,0,7.0725,21.2175,28.29,0,0.1425,0.4275,0.57,0,0.15,0.25,1
CANAS,0,1.285,3.855,5.14,0,0.035,0.105,0.14,0,0.15,0.25,1
CANCHIS,0,19.9275,59.7825,79.71,0,0.465,1.395,1.86,0,0.15,0.25,1
CHUMBIVILCAS,0,6.1775,18.5325,24.71,0,0.3225,0.9675,1.29,0,0.15,0.25,1
CUSCO,0,283.5725,850.7175,1134.29,0,5.8925,17.6775,23.57,0,0.15,0.25,1
ESPINAR,0,11.9275,35.7825,47.71,0,0.215,0.645,0.86,0,0.15,0.25,1
LA CONVENCION,0,20.3225,60.9675,81.29,0,0.535,1.605,2.14,0,0.15,0.25,1
PARURO,0,4.6075,13.8225,18.43,0,0.1425,0.4275,0.57,0,0.15,0.25,1
PAUCARTAMBO,0,2.5725,7.7175,10.29,0,0.035,0.105,0.14,0,0.15,0.25,1
QUISPICANCHI,0,20.8225,62.4675,83.29,0,0.1775,0.5325,0.71,0,0.15,0.25,1
URUBAMBA,0,11.215,33.645,44.86,0,0.1775,0.5325,0.71,0,0.15,0.25,1