distrito,cases_q0,cases_q1,cases_q2,cases_q3,deaths_q0,deaths_q1,deaths_q2,deaths_q3
ACCHA,0,5.5,16.5,22,0,0,0,0
ACOMAYO,0,2.25,6.75,9,0,0,0,0
ACOPIA,0,2.75,8.25,11,0,0.25,0.75,1
ACOS,0,0.75,2.25,3,0,0,0,0
ALTO PICHIGUA,0,6.25,18.75,25,0,0,0,0
ANCAHUASI,0,2.25,6.75,9,0,0,0,0
ANDAHUAYLILLAS,0,4.25,12.75,17,0,0.25,0.75,1
ANTA,0,21.25,63.75,85,0,0.5,1.5,2
CACHIMAYO,0,4.5,13.5,18,0,0.25,0.75,1
CAICAY,0,0.5,1.5,2,0,0,0,0
CALCA,0,18.25,54.75,73,0,0.25,0.75,1
CAMANTI,0,4,12,16,0,0.25,0.75,1
CAPACMARCA,0,2.75,8.25,11,0,0,0,0
CCAPI,0,0.5,1.5,2,0,0,0,0
CCARHUAYO,0,0.5,1.5,2,0,0.25,0.75,1
CCATCA,0,9,27,36,0,0.25,0.75,1
CCORCA,0,1.625,4.875,6.5,0,0.0425,0.1275,0.17
CHALLABAMBA,0,0.5,1.5,2,0,0,0,0
CHAMACA,0,8,24,32,0,0,0,0
CHECACUPE,0,4.25,12.75,17,0,0.25,0.75,1
CHECCA,0,1,3,4,0,0,0,0
CHINCHAYPUJIO,0,7.5,22.5,30,0,0,0,0
CHINCHERO,0,6.75,20.25,27,0,0.25,0.75,1
COLCHA,0,0.25,0.75,1,0,0,0,0
COLQUEMARCA,0,1.75,5.25,7,0,0.25,0.75,1
COLQUEPATA,0,0.5,1.5,2,0,0,0,0
COMBAPATA,0,11.5,34.5,46,0,0.25,0.75,1
CONDOROMA,0,0.5,1.5,2,0,0,0,0
COPORAQUE,0,1.5,4.5,6,0,0.25,0.75,1
COYA,0,6.5,19.5,26,0,0,0,0
CUSCO,0,80.3575,241.0725,321.43,0,2.465,7.395,9.86
CUSIPATA,0,2.75,8.25,11,0,0.25,0.75,1
ECHARATE,0,9.75,29.25,39,0,0,0,0
ESPINAR,0,19.5,58.5,78,0,0.5,1.5,2
HUANCARANI,0,1.5,4.5,6,0,0,0,0
HUANOQUITE,0,4.25,12.75,17,0,0,0,0
HUARO,0,6.25,18.75,25,0,0,0,0
HUAROCONDO,0,3.25,9.75,13,0,0.25,0.75,1
HUAYLLABAMBA,0,1.75,5.25,7,0,0,0,0
HUAYOPATA,0,2.25,6.75,9,0,0.25,0.75,1
INKAWASI,0,1,3,4,0,0,0,0
KIMBIRI,0,7,21,28,0,0.75,2.25,3
KOSNIPATA,0,8,24,32,0,0.25,0.75,1
KUNTURKANKI,0,0.75,2.25,3,0,0.25,0.75,1
LAMAY,0,1.25,3.75,5,0,0,0,0
LANGUI,0,0.75,2.25,3,0,0.25,0.75,1
LARES,0,0.5,1.5,2,0,0,0,0
LAYO,0,4.75,14.25,19,0,0,0,0
LIMATAMBO,0,9.5,28.5,38,0,0.25,0.75,1
LIVITACA,0,3.25,9.75,13,0,0.25,0.75,1
LLUSCO,0,1.25,3.75,5,0,0,0,0
LUCRE,0,9,27,36,0,0.25,0.75,1
MACHUPICCHU,0,22.75,68.25,91,0,0.25,0.75,1
MARANGANI,0,17.25,51.75,69,0,0.25,0.75,1
MARANURA,0,3.25,9.75,13,0,0,0,0
MARAS,0,0.75,2.25,3,0,0.25,0.75,1
MARCAPATA,0,2,6,8,0,0,0,0
MEGANTONI,0,6.75,20.25,27,0,0.25,0.75,1
MOLLEPATA,0,2,6,8,0,0,0,0
MOSOC LLACTA,0,0.5,1.5,2,0,0,0,0
OCOBAMBA,0,1.5,4.5,6,0,0,0,0
OCONGATE,0,14.25,42.75,57,0,0.25,0.75,1
OCORURO,0,3,9,12,0,0.25,0.75,1
OLLANTAYTAMBO,0,7,21,28,0,0.25,0.75,1
OMACHA,0,0.5,1.5,2,0,0,0,0
OROPESA,0,10.5,31.5,42,0,0.25,0.75,1
OTRO,0,17,51,68,0,0,0,0
PACCARITAMBO,0,9,27,36,0,0,0,0
PALLPATA,0,10.25,30.75,41,0,0,0,0
PAMPAMARCA,0,0.75,2.25,3,0,0,0,0
PARURO,0,5,15,20,0,0.5,1.5,2
PAUCARTAMBO,0,6.5,19.5,26,0,0,0,0
PICHARI,0,6.5,19.5,26,0,0.25,0.75,1
PICHIGUA,0,4.25,12.75,17,0,0,0,0
PILLPINTO,0,3.25,9.75,13,0,0,0,0
PISAC,0,8,24,32,0,0.25,0.75,1
PITUMARCA,0,11,33,44,0,0,0,0
POMACANCHI,0,8.75,26.25,35,0,0.25,0.75,1
POROY,0,2.6075,7.8225,10.43,0,0.1425,0.4275,0.57
PUCYURA,0,13.5,40.5,54,0,0.25,0.75,1
QUEHUE,0,0.5,1.5,2,0,0,0,0
QUELLOUNO,0,1.5,4.5,6,0,0.25,0.75,1
QUINOTA,0,2.5,7.5,10,0,0.25,0.75,1
QUIQUIJANA,0,11.25,33.75,45,0,0,0,0
RONDOCAN,0,0.75,2.25,3,0,0,0,0
SAN JERONIMO,0,43.9275,131.7825,175.71,0,0.1425,0.4275,0.57
SAN PABLO,0,4.25,12.75,17,0,0,0,0
SAN PEDRO,0,4,12,16,0,0,0,0
SAN SALVADOR,0,6.75,20.25,27,0,0.25,0.75,1
SAN SEBASTIAN,0,51.75,155.25,207,0,0.25,0.75,1
SANGARARA,0,1.75,5.25,7,0,0,0,0
SANTA ANA,0,22,66,88,0,0.5,1.5,2
SANTA TERESA,0,1.75,5.25,7,0,0,0,0
SANTIAGO,0,63.8225,191.4675,255.29,0,0.75,2.25,3
SANTO TOMAS,0,5.75,17.25,23,0,0.25,0.75,1
SAYLLA,0,4.215,12.645,16.86,0,0.0725,0.2175,0.29
SICUANI,0,38,114,152,0,0.75,2.25,3
SUYCKUTAMBO,0,2.5,7.5,10,0,0,0,0
TARAY,0,9.25,27.75,37,0,0,0,0
TINTA,0,10.25,30.75,41,0,0,0,0
TUPAC AMARU,0,0.5,1.5,2,0,0,0,0
URCOS,0,13.25,39.75,53,0,0.5,1.5,2
URUBAMBA,0,23.25,69.75,93,0,0.5,1.5,2
VELILLE,0,7.75,23.25,31,0,0,0,0
VILCABAMBA,0,6,18,24,0,0,0,0
VILLA KINTIARINA,0,0.25,0.75,1,0,0,0,0
VILLA VIRGEN,0,0.25,0.75,1,0,0,0,0
WANCHAQ,0,39.715,119.145,158.86,0,2.6775,8.0325,10.71
YANAOCA,0,2.75,8.25,11,0,0.25,0.75,1
YANATILE,0,1.75,5.25,7,0,0.25,0.75,1
YAURISQUE,0,3.75,11.25,15,0,0.25,0.75,1
YUCAY,0,1.75,5.25,7,0,0,0,0
ZURITE,0,1.25,3.75,5,0,0,0,0
